site_id,region,sub_region,city,lat,lng,priority,demographic,grid_type,fiber_pop,ssrf,batch
53721,North,N3,Abbottabad,34.178302,73.223853,New Construction,Suburban,Good Grid,0,,Batch-1
53730,North,N1,Islamabad,33.644844,73.174059,New Construction,Suburban,Good Grid,0,,Batch-1
53123,North,N3,Abbottabad,34.197178,73.257023,Sharing,Suburban,Good Grid,0,Yes,Batch-1
53160,North,N3,Abbottabad,34.171139,73.238352,Sharing,Suburban,Good Grid,0,,Batch-1
53693,North,N2,Pabbi,34.022184,71.731483,New Construction,Rural,Prime,0,,Batch-1
53748,North,N2,Peshawar,33.987707,71.626718,New Construction,Suburban,Bad Grid,0,,Batch-1
52638,North,N1,Islamabad_Rural,33.65598,73.266732,Sharing,Urban,0,0,,Batch-1
53713,North,N1,Rawalpindi,33.624922,73.046004,New Construction,Urban,Good Grid,0,,Batch-1
51148,North,N3,Abbottabad,34.1897,73.2502,Sharing,Suburban,Good Grid,0,Yes,Batch-1
51239,North,N3,Abbottabad,34.155092,73.219561,New Construction,Suburban,Good Grid,0,,Batch-1
52385,North,N3,Abbottabad,34.142111,73.226115,New Construction,Suburban,Good Grid,0,,Batch-1
53670,North,N3,Haripur_Rural,33.843,72.8984,New Construction,Rural,Good Grid,0,,Batch-1
53387,North,N3,Haripur_Rural,33.835732,72.932525,New Construction,Rural,Good Grid,0,,Batch-1
53278,North,N1,Hasan Abdal_Rural,33.738125,72.717104,New Construction,Suburban,Good Grid,0,,Batch-1
53289,North,N1,Hasan Abdal_Rural,33.736062,72.687058,New Construction,Suburban,Good Grid,0,,Batch-1
53155,North,N1,Islamabad,33.641254,73.029656,New Construction,Urban,Good Grid,0,,Batch-1
53669,North,N1,Islamabad,33.684145,72.930123,New Construction,Urban,Good Grid,0,,Batch-1
53224,North,N1,Islamabad,33.7424,73.1176,New Construction,Suburban,Bad Grid,0,,Batch-1
52605,North,N1,Islamabad,33.73698,73.110876,New Construction,Suburban,Bad Grid,0,,Batch-1
53291,North,N1,Islamabad_Rural,33.648202,73.286335,New Construction,Urban,0,0,,Batch-1
52604,North,N1,Islamabad_Rural,33.684014,73.215005,New Construction,Suburban,Good Grid,0,,Batch-1
51555,North,N3,Mansehra,34.328053,73.195804,New Construction,Suburban,Good Grid,0,,Batch-1
52979,North,N3,Mansehra,34.31935,73.187471,New Construction,Suburban,Good Grid,0,,Batch-1
