tower_id,lat,lng,tower_type,height_m,tower_cat,tenants
ABT2136,34.1768,73.22866,Angular Stub Tower,25.0,RT,0.0
ISB2970,33.6402,73.16658889,Self-Supported Tower,37.0,GBT,0.0
ABT2300,34.18966,73.25015,Angular Stub Tower,45.0,GBT,0.0
RUR2665,34.04934,71.7289,Self-Supported Tower,46.0,GBT,0.0
RUR2015,33.98469,71.63443,Self-Supported Tower,37.0,GBT,0.0
ISB5380,33.68636,73.24654,0,0.0,0,0.0
RWP1601,33.62852,73.04434,Angular Stub Tower,30.0,GBT,0.0
ABT0080,34.14629,73.22422,Self-Supported Tower,46.0,GBT,0.0
KHP3901,33.80548,72.9089,Self-Supported Tower,55.0,GBT,0.0
TXA1902,33.76548,72.73006,Angular Stub Tower,30.0,GBT,0.0
ISB0600,33.63768,73.03034,Self-Supported Tower,20.0,RT,0.0
ISB0376,33.69682,72.93544,Self-Supported Tower,30.0,GBT,0.0
ISB1469,33.74296,73.10822,Tubular,30.0,GBT,0.0
RUR0724,33.69262,73.21971,Mast,6.0,OHWT,0.0
MNS1798,34.32748,73.19347,Self-Supported Tower,30.0,GBT,0.0
PSH5186,33.99342,71.43569,Pole,3.0,RT,0.0
PSH0628,34.0168,71.55284,Angular Stub Tower,40.0,GBT,0.0
PSH0073,34.00043,71.53387,Self-Supported Tower,37.0,GBT,0.0
PGB1131,33.24168,72.26857,Self-Supported Tower,46.0,GBT,0.0
RWP1067,33.59926112,73.0889,Self-Supported Tower,27.5,GBT,0.0
RWP0627,33.56314,72.97874,Angular Stub Tower,35.0,GBT,0.0
BHR2234,35.20713,72.54648,Self-Supported Tower,46.0,GBT,0.0
ATK0844,33.816286,72.359682,Angular Stub Tower,60.0,GBT,0.0
TXA1921,33.80257,72.74812,Angular Stub Tower,40.0,GBT,0.0
TXA1889,33.75742,72.76029,Monopole,30.0,GBT,0.0
TXA1608,33.77958,72.71753,Angular Stub Tower,35.0,GBT,0.0
TXA1901,33.76522,72.74092,Self-Supported Tower,30.0,GBT,0.0
TXA0959,33.76757,72.75362,Angular Stub Tower,40.0,GBT,0.0
TXA0251,33.7375,72.81777,Angular Stub Tower,35.0,GBT,0.0
TXA0742,33.75306,72.7753,Angular Stub Tower,40.0,GBT,0.0
RUR5176,31.31479,74.22703,Self-Supported Tower,60.0,GBT,1.0
LHR1109,31.39827,74.21509,Self-Supported Tower,46.0,GBT,0.0
LHR9186,31.40758,74.18084,Mast,25.0,RT,0.0
LHR6741,31.40607,74.30199,0,0.0,0,0.0
BWN7491,29.99312,73.24394,Self-Supported Tower,30.0,GBT,0.0
BWN2834,29.97808,73.25507,Self-Supported Tower,37.0,GBT,0.0
MCH1779,30.44922,72.35886,Self-Supported Tower,35.0,GBT,0.0
OKR5992,30.81319,73.43405,Self-Supported Tower,30.0,GBT,0.0
RUR3411,32.4795,74.4534,Self-Supported Tower,37.0,GBT,0.0
HUB6199,25.05472,66.88399,Self-Supported Tower,46.0,GBT,0.0
FAB4304,29.193,72.8514,Self-Supported Tower,46.0,GBT,0.0
TOB7436,30.96559,72.44518,Self-Supported Tower,37.0,GBT,0.0
HWY0882,30.5729,71.23583,Self-Supported Tower,46.0,GBT,0.0
RUR8626,29.34836,70.78149,Self-Supported Tower,46.0,GBT,0.0
RUR4590,30.579,71.0774,Self-Supported Tower,46.0,GBT,0.0
HWY7261,29.9786,70.65246,Self-Supported Tower,46.0,GBT,0.0
KCT7913,29.88241,70.65025,Self-Supported Tower,46.0,GBT,0.0
HRD0139,29.60249,73.14302,Self-Supported Tower,37.0,GBT,0.0
RUR4621,32.340061,74.912031,Self-Supported Tower,46.0,GBT,0.0
RUR4303,29.3287,72.9576,Self-Supported Tower,61.0,GBT,0.0
HGW6971,27.10933,68.62964,Self-Supported Tower,46.0,GBT,0.0
MGO1334,34.81849,72.3415,Self-Supported Tower,37.0,GBT,0.0
KTR2453,33.48988,74.10228,Self-Supported Tower,37.0,GBT,0.0
LKN5093,27.55386,68.22209,Self-Supported Tower,25.0,GBT,0.0
PIS7045,30.59026,67.03005,Self-Supported Tower,46.0,GBT,1.0
QTA1123,30.173,67.0202,Self-Supported Tower,35.0,GBT,0.0
KHI5193,24.81752,67.18543,Self-Supported Tower,37.0,GBT,0.0
KHI6510,25.03182,67.09504,Self-Supported Tower,25.0,GBT,0.0
QTA1126,30.1743,66.9597,Self-Supported Tower,50.0,GBT,0.0
KCK3715,34.12212,71.61315,Angular Stub Tower,60.0,GBT,0.0
SPC0509,26.1615,68.633,Self-Supported Tower,60.0,GBT,0.0
HGW6226,26.25264,68.14894,Self-Supported Tower,46.0,GBT,0.0
RUR4431,30.5737,70.9394,Self-Supported Tower,46.0,GBT,0.0
KHB2463,33.90012,71.42728,Self-Supported Tower,46.0,GBT,0.0
KLM2505,35.47599,72.58755,Self-Supported Tower,46.0,GBT,0.0
BGR2400,33.92905,73.93139,Self-Supported Tower,46.0,GBT,1.0
JBW8567,31.05474,72.07146,Self-Supported Tower,46.0,GBT,0.0
JBW8316,31.10146,72.08625,Self-Supported Tower,30.0,GBT,0.0
HWY7996,30.76376,71.79984,Self-Supported Tower,46.0,GBT,0.0
APS4890,30.68299,71.76079,Self-Supported Tower,37.0,GBT,0.0
RUR4855,31.61696,72.26934,Self-Supported Tower,46.0,GBT,0.0
HWY2813,31.56021,72.25989,Self-Supported Tower,60.0,GBT,1.0
KMO0932,31.35395,72.54285,Self-Supported Tower,46.0,GBT,0.0
HWY2816,31.29447,72.50549,Self-Supported Tower,60.0,GBT,1.0
RUR6502,30.8179,72.17285,Self-Supported Tower,60.0,GBT,0.0
HWY2850,31.30941,72.61708,Self-Supported Tower,60.0,GBT,0.0
RUR1254,30.94417,72.35137,Self-Supported Tower,46.0,GBT,0.0
RAT7581,31.5552,72.39265,Self-Supported Tower,61.0,GBT,0.0
RUR3508,32.668,73.549,Self-Supported Tower,46.0,GBT,0.0
RUR4413,32.657556,73.641472,Self-Supported Tower,37.0,GBT,0.0
PHA6218,32.4319,73.5741,Self-Supported Tower,60.0,GBT,0.0
CML9907,32.57722,73.6326,Self-Supported Tower,46.0,GBT,0.0
RUR0374,32.52559,73.59078,Self-Supported Tower,46.0,GBT,1.0
GJA6164,32.40746,73.31963,Self-Supported Tower,60.0,GBT,0.0
NKW6994,32.33546,73.26142,Self-Supported Tower,46.0,GBT,0.0
RUR1394,30.31729,71.01835,Self-Supported Tower,30.0,GBT,0.0
RUR8474,30.33517,70.89715,Self-Supported Tower,37.0,GBT,1.0
KAU7495,30.46461,70.95807,Self-Supported Tower,37.0,GBT,0.0
CKW0206,29.54605,70.9336,Self-Supported Tower,60.0,GBT,0.0
KPS8625,29.34451,70.85201,Self-Supported Tower,46.0,GBT,0.0
RUR1388,29.88187,70.98088,Self-Supported Tower,25.0,GBT,0.0
RUR3586,29.31802778,70.87888889,Self-Supported Tower,46.0,GBT,0.0
QAH6279,26.30179,68.10759,Self-Supported Tower,46.0,GBT,0.0
RUR3023,34.94754,72.52744,Self-Supported Tower,46.0,GBT,0.0
MGO3759,34.78566,72.35499,Self-Supported Tower,60.0,GBT,0.0
RUR1477,34.79754,72.2844,Self-Supported Tower,37.0,GBT,0.0
RUR0657,34.67996,72.33823,Angular Stub Tower,60.0,GBT,0.0
MDN2520,35.10942,72.51176,Self-Supported Tower,46.0,GBT,0.0
MGO2837,34.81927,72.37398,Self-Supported Tower,46.0,GBT,0.0
HWY1478,34.93077,72.41315,Self-Supported Tower,37.0,GBT,0.0
BHR2227,35.07327,72.48632,Self-Supported Tower,46.0,GBT,0.0
RUR2896,34.9814,72.36288,Self-Supported Tower,46.0,GBT,0.0
HNG1333,33.52844,71.06521,Self-Supported Tower,46.0,GBT,0.0
LCH1560,33.40854,71.35165,Self-Supported Tower,46.0,GBT,0.0
MGO1035,34.76484,72.35924,Self-Supported Tower,15.0,RT,0.0
MGO2170,34.77298,72.35211,Self-Supported Tower,30.0,GBT,0.0
MJB5817,34.80019,72.57198,0,0.0,0,0.0
HWY2848,34.93733,72.46866,Self-Supported Tower,46.0,GBT,0.0
DBL3526,35.46421,72.24585,Angular Stub Tower,60.0,GBT,0.0
HWY3818,34.86922,72.44088,Angular Stub Tower,50.0,GBT,0.0
WRI4764,35.0527,72.14104,Self-Supported Tower,40.0,GBT,0.0
HWY3638,34.67784,72.13493,Angular Stub Tower,50.0,GBT,0.0
HWY1849,34.65478,72.16082,Self-Supported Tower,46.0,GBT,0.0
KTG3722,34.77874,72.12719,Angular Stub Tower,40.0,GBT,2.0
KTG0780,34.78786,72.15116,Self-Supported Tower,46.0,GBT,0.0
MDD3045,34.8355,71.69441,Self-Supported Tower,46.0,GBT,0.0
MDD1829,34.82384,71.68252,Self-Supported Tower,46.0,GBT,0.0
RUR3217,34.95195,71.72882,Self-Supported Tower,30.0,GBT,0.0
KTG1099,34.72735,72.01503,Self-Supported Tower,46.0,GBT,1.0
RUR4007,34.79584,71.97161,Self-Supported Tower,46.0,GBT,0.0
SBD2541,34.9757,71.66876,Self-Supported Tower,46.0,GBT,0.0
SBD2540,34.93785,71.66674,Self-Supported Tower,46.0,GBT,0.0
RUR0540,35.01177,71.7953,Angular Stub Tower,60.0,GBT,0.0
KMD4072,34.96093,71.81191,Self-Supported Tower,46.0,GBT,0.0
TSD3847,34.73494,71.91322,Angular Stub Tower,45.0,GBT,1.0
TSD3616,34.76683,71.79572,Angular Stub Tower,35.0,GBT,0.0
SHM2117,34.74237,71.85528,Self-Supported Tower,46.0,GBT,0.0
BLB0927,35.05538,71.77988,Self-Supported Tower,30.0,GBT,0.0
RUR3078,34.93299,72.10791,Self-Supported Tower,46.0,GBT,1.0
BLB2506,35.08718,71.75781,Self-Supported Tower,35.0,GBT,0.0
DRA3486,35.05188,71.99686,Angular Stub Tower,60.0,GBT,1.0
DBL3534,35.33231,72.06471,Self-Supported Tower,60.0,GBT,0.0
DBL2921,35.22966,71.99922,Self-Supported Tower,46.0,GBT,0.0
HWY2137,35.30374,71.84377,Self-Supported Tower,25.0,GBT,0.0
OHD2538,35.15617,72.08848,Self-Supported Tower,46.0,GBT,0.0
KAD6635,27.41904,68.43484,Self-Supported Tower,46.0,GBT,0.0
BZD6677,27.14675,68.56448,Self-Supported Tower,46.0,GBT,1.0
BZD6679,27.18826,68.55449,Self-Supported Tower,46.0,GBT,0.0
MND6686,27.05147,68.59335,Self-Supported Tower,46.0,GBT,0.0
SOB6461,27.30199,68.41671,Self-Supported Tower,46.0,GBT,0.0
AMR6634,26.10051,68.15126,Self-Supported Tower,46.0,GBT,0.0
HGW5209,26.40489,68.23496,Self-Supported Tower,46.0,GBT,0.0
BOH6746,26.29797,68.431919,Self-Supported Tower,46.0,GBT,0.0
DDO0508,26.245,68.2677,Self-Supported Tower,60.0,GBT,0.0
HGW6107,26.21592,68.18574,Self-Supported Tower,46.0,GBT,0.0
HGW6943,26.1981,68.30736,Self-Supported Tower,55.0,GBT,0.0
QAH7035,26.34712,68.07063,Self-Supported Tower,46.0,GBT,1.0
HGW5206,26.42854,68.13996,Self-Supported Tower,46.0,GBT,0.0
SPC9109,26.212,68.5182,Self-Supported Tower,60.0,GBT,0.0
